Date,Total Cyclists,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2018-08-16,14667,-1,-1,17.4,9.7,21.1,12
2018-08-17,12996,-1,-1,20,14.2,23.5,16.8
2018-08-18,7273,3.6,-1,20,15.2,23.2,18.2
2018-08-19,6500,-1,-1,18.6,16.3,21.6,17
2018-08-20,8894,20.1,-1,15,10.2,19.5,12.9
2018-08-21,12842,-1,-1,14.8,10.3,19.5,10.9
2018-08-22,13220,-1,-1,15.1,8.4,19.4,9.6
2018-08-23,13111,-1,-1,17.4,15,20.8,15.5
2018-08-24,11154,7.3,-1,18.8,13.3,22.4,15.5
2018-08-25,5386,-1,-1,16.7,15.9,19.5,16.3
2018-08-26,4518,14.2,-1,15.2,11.1,18.9,13.1
2018-08-27,11725,-1,-1,15.1,9.7,18.4,11.8
2018-08-28,11618,-1,-1,16.3,10.2,18,12.3
2018-08-29,12586,-1,-1,16.6,10.4,20.6,12.9
2018-08-30,10185,0.6,-1,15.2,10.7,16.6,13.5
2018-08-31,9833,0.3,-1,16.2,10.1,18.8,12.8
2018-09-01,4471,3.4,-1,16.9,13.8,18.8,15.7
2018-09-02,5173,-1,-1,16.9,13,21.4,14.9
2018-09-03,12216,-1,-1,16.5,10.9,19.9,13.3
2018-09-04,11420,-1,-1,15.6,9.8,18.6,12.2
2018-09-05,11086,-1,-1,15.8,11.8,18.2,13.9
2018-09-06,11600,-1,-1,16.8,11.1,21.1,13.4
2018-09-07,9798,-1,-1,17.4,12.7,19.7,14.7
2018-09-08,6179,-1,-1,19.4,15.2,23,17.2
2018-09-09,4906,0.1,-1,17.9,15.6,19.6,16.8
2018-09-10,9688,8.7,-1,17.3,13.5,19.2,15.5
2018-09-11,6769,23.6,-1,16.3,12.7,18.1,13.3
2018-09-12,9045,2.8,-1,14.9,12.7,17.9,12
2018-09-13,10099,-1,-1,14.5,7.8,17.9,9.1
2018-09-14,8232,3.2,-1,15,10.3,17.3,12.9
2018-09-15,2819,7.1,-1,14,12.4,16.9,12.2
2018-09-16,4592,2.8,-1,12.7,5.8,17.2,7.9
2018-09-17,5216,6.4,-1,13,6.2,15.5,9.1
2018-09-18,9489,-1,-1,13.5,7.9,15.6,9.8
2018-09-19,10552,-1,-1,15.4,10,18,13
2018-09-20,9221,2.4,-1,15.4,9.5,17.9,12.5
2018-09-21,7756,0.9,-1,15.9,9.7,19.3,11.9
2018-09-22,2749,1,-1,13.9,11.5,18.7,11.3
2018-09-23,3974,-1,-1,11.6,9.2,13.8,9.7
2018-09-24,8975,-1,-1,8.2,2.8,12.8,5.2
2018-09-25,8625,-1,-1,7.8,2.5,12.4,3.4
2018-09-26,4828,0.9,-1,10.6,6.4,11.9,8.2
2018-09-27,7213,-1,-1,10,7.5,12.4,8.6
2018-09-28,6669,-1,-1,7.9,5.7,11.8,6
2018-09-29,3365,4.2,-1,6,-1.9,10.4,0
2018-09-30,2706,-1,-1,10.4,6.6,12.7,7.8
2018-10-01,8134,-1,-1,10.6,5.2,13.8,7.9
2018-10-02,8106,3.6,-1,8.4,4.6,12.3,6.3
2018-10-03,4242,9.2,0,6,2.2,8,4.6
2018-10-04,7645,0.5,-1,3.9,0.9,7.1,1.5
2018-10-05,4438,1,-1,8.9,-1.6,13.4,0.3
2018-10-06,3328,-1,0,9.6,4.6,11.5,8.2
2018-10-07,2805,-1,0,5.9,3.6,9.2,3.5
2018-10-08,5373,7,0,6,-2.8,9.6,-0.7
2018-10-09,5802,0.2,0,11.5,8.4,12.4,9
2018-10-10,7804,-1,0,12.3,11.1,17,9.8
2018-10-11,7853,-1,0,8.9,1.4,12.9,4.5
2018-10-12,6306,-1,0,10.7,10.2,11.9,9.7
2018-10-13,3635,-1,0,12.7,5.7,14.5,8.3
2018-10-14,4217,-1,0,12.9,9.7,15.5,11.3
2018-10-15,7357,-1,0,12.5,7.6,14.7,11.1
2018-10-16,7193,-1,0,12.3,6.7,14.7,11.2
2018-10-17,6868,-1,0,11.1,10.4,12.1,9.8
2018-10-18,5240,5.5,-1,11.1,10.3,13.2,10.6
2018-10-19,5761,-1,-1,7.9,3.5,11.5,5.7
2018-10-20,3447,-1,-1,6.3,-0.4,10,2.9
2018-10-21,2964,2.2,-1,9,0.4,11.1,4.3
2018-10-22,5670,0.5,-1,9.6,9.8,12.1,7.1
2018-10-23,4633,5.6,-1,7.3,3.7,8.7,5.9
2018-10-24,5459,-1,-1,4.3,3.8,7.2,2.6
2018-10-25,5476,0.2,-1,2.8,-3.5,6.5,-1.1
2018-10-26,4311,1.3,-1,2.3,-1,4.3,1.4
2018-10-27,1954,-1,-1,1.7,-1.3,2.4,0.5
2018-10-28,2078,-1,,0.5,-1.7,2.7,-1
2018-10-29,3423,2.5,0,-0.3,-4.6,3.1,-3.2
2018-10-30,2983,0.3,-1,3.5,0.6,4.2,2.4
2018-10-31,4681,0.2,-1,8,4.1,10.4,4.1
2018-11-01,5129,-1,-1,8.5,7.8,10.2,7.4
2018-11-02,3642,0.8,-1,9.1,0.3,10.5,4.7
2018-11-03,1819,-1,-1,8.5,8.6,10.9,6
2018-11-04,2159,-1,-1,7,-0.7,9.7,2
2018-11-05,5341,0.4,-1,6.8,5.5,8.4,5.7
2018-11-06,5068,-1,-1,6.8,5.2,8,5.1
2018-11-07,4824,-1,-1,8.6,7.4,9,7.5
2018-11-08,4706,0.1,-1,6.5,6.4,8.4,6
2018-11-09,4044,-1,-1,5.6,4.9,6.3,5.2
2018-11-10,1561,5.7,-1,5.7,5.1,6.1,5.2
2018-11-11,1401,-1,-1,5.4,5,5.8,5.1
2018-11-12,3532,13.6,-1,5.6,4.6,5.9,5
2018-11-13,3189,3.7,-1,6.6,5,8.3,5.4
2018-11-14,4716,0.1,-1,6.3,5.8,8.1,4.4
2018-11-15,4542,-1,-1,7.9,-0.3,9,3
2018-11-16,3859,-1,-1,8.9,,9.7,8
2018-11-17,2070,-1,-1,6.8,,9,4.7
2018-11-18,1801,-1,-1,4.5,,6.6,3
2018-11-19,4174,-1,-1,0.4,,3.1,-0.2
2018-11-20,4165,-1,-1,0,,1.6,-2.5
2018-11-21,4169,-1,,-0.7,,1.9,-2.6
2018-11-22,3912,-1,-1,-0.5,,1,-3.3
2018-11-23,3412,-1,-1,0.5,,2.8,-2.2
2018-11-24,1803,-1,-1,0.2,,2.2,-2.2
2018-11-25,1287,-1,-1,-4,,-1.8,-5.4
2018-11-26,3377,-1,-1,-2,,-0.2,-5.3
2018-11-27,3371,-1,-1,-3.6,,-1,-4.6
2018-11-28,3126,0.7,-1,-3.2,,-0.8,-6.1
2018-11-29,2540,-1,-1,0.7,,3,-1.4
2018-11-30,2054,-1,-1,1.6,,2.3,-0.1
2018-12-01,1121,-1,-1,-0.7,,2.3,-2.2
2018-12-02,1009,-1,-1,-0.6,,0.2,-1.4
2018-12-03,2954,1.9,-1,-0.2,,0.5,-1.1
2018-12-04,2445,4,-1,4,,5.7,-0.1
2018-12-05,2845,0.4,-1,2.9,,5.8,1.2
2018-12-06,1120,-1,-1,0.6,,2.6,-1.5
2018-12-07,1810,3.1,-1,1.3,,3.8,-2.1
2018-12-08,508,16.7,0,2.4,,3.5,0.1
2018-12-09,778,0.8,-1,4.5,,5.5,3.6
2018-12-10,2759,2.8,-1,2.9,,4.2,2.3
2018-12-11,3018,0.2,-1,1.2,,2.3,0.5
2018-12-12,2720,-1,-1,0.1,,1.1,-0.8
2018-12-13,2654,-1,-1,-1.3,,0.1,-1.5
2018-12-14,2406,-1,-1,-3.7,,-1.5,-4.2
2018-12-15,1126,-1,-1,-5.1,,-4.1,-5.6
2018-12-16,720,3.1,-1,-3.5,,-0.7,-5.7
2018-12-17,1727,1.9,2,0.2,,0.8,-0.8
2018-12-18,2106,0.5,5,1.4,,1.8,0.7
2018-12-19,2067,0.4,3,0.8,,2.1,0.2
2018-12-20,1987,-1,3,-2.1,,0.3,-3.2
2018-12-21,1550,0.6,3,-5,,-1.5,-7.6
2018-12-22,487,1.6,3,-8.1,,-7.2,-9.8
2018-12-23,392,-1,6,-8.1,,-7.1,-8.7
2018-12-24,218,0.3,5,-9.6,,-8.6,-11.9
2018-12-25,204,0.6,5,0.7,,2,-10.5
2018-12-26,371,-1,3,1.1,,3.2,-0.9
2018-12-27,884,0.9,3,0.2,,2.3,-1.3
2018-12-28,906,-1,2,-0.6,,0.8,-1.3
2018-12-29,584,-1,2,0.7,,3.2,-2
2018-12-30,521,-1,0,0.2,,1.4,-0.7
2018-12-31,892,3.2,2,-0.5,,0.7,-1.9
2019-01-01,429,1.5,-1,2.7,,4.5,0.5
2019-01-02,1056,0.2,-1,-2.9,,2.2,-6.1
2019-01-03,1272,1.8,-1,-9.1,,-6.1,-11.1
2019-01-04,1341,0.5,0,-1.2,,1.2,-12.1
2019-01-05,643,-1,2,-4.7,,-0.3,-5.4
2019-01-06,520,0.8,2,-3.5,,0.5,-7.6
2019-01-07,2024,3.5,-1,1.3,,2.6,-0.2
2019-01-08,1704,12.2,0,0.4,,1.8,-0.9
2019-01-09,1547,0.8,14,-1.9,,0,-4.1
2019-01-10,1900,0.5,13,-4.1,,-3.1,-6.1
2019-01-11,1766,-1,11,1.4,,2.1,-3.8
2019-01-12,679,-1,8,-1.3,,2,-3.6
2019-01-13,570,5.5,8,-2.2,,1.1,-6.3
2019-01-14,1760,1.1,11,-2,,0.7,-4.8
2019-01-15,1871,0.6,12,-6.1,,-4.4,-9.6
2019-01-16,1848,11.2,14,-5.3,,-3.4,-8.7
2019-01-17,1046,0.8,24,-4.5,,-1.2,-7.5
2019-01-18,1428,-1,23,-9.2,,-6.1,-11.4
2019-01-19,549,2.2,22,-5.2,,0.6,-13
2019-01-20,484,-1,23,-7.9,,-0.4,-11.7
2019-01-21,1643,-1,21,-15.1,,-11.4,-17.3
2019-01-22,1468,0.3,21,-13.8,,-5.3,-20.3
2019-01-23,1685,1.8,21,-1.7,,0.1,-5.6
2019-01-24,1609,-1,22,-7.8,,-1.2,-10.7
2019-01-25,1544,2.1,21,-3.6,,-2.1,-10.1
2019-01-26,474,2.5,23,-8.2,,-4.7,-9.9
2019-01-27,383,-1,29,-13.8,,-9.8,-16
2019-01-28,1373,12.3,27,-7.3,,-5.1,-15.9
2019-01-29,1031,8.6,36,-4.5,,-3.8,-5.6
2019-01-30,1099,1.2,42,-0.8,,0.8,-4.7
2019-01-31,1412,-1,40,-0.8,,0.7,-3.4
2019-02-01,1346,0.8,39,-3.6,,-1.3,-5.8
2019-02-02,423,8.1,37,-2.6,,-1.9,-4.4
2019-02-03,241,5.7,42,-0.6,,2,-3.3
2019-02-04,1360,1.6,39,-3.5,,1.2,-5.8
2019-02-05,1146,5.2,39,0,,1.2,-5.7
2019-02-06,1274,2.2,44,-3.7,,-0.2,-7.8
2019-02-07,1195,1.1,46,0.1,,1.7,-6
2019-02-08,1177,0.5,43,1.5,,2.4,0.7
2019-02-09,400,5.9,34,2,,2.7,1.6
2019-02-10,412,2.5,31,2.2,,3.1,0.5
2019-02-11,1285,7.3,28,1.3,,2.8,0.4
2019-02-12,1660,-1,27,-1.1,,0.7,-2.3
2019-02-13,1577,1.9,27,-0.1,,1.1,-3.7
2019-02-14,1643,-1,28,2.3,,2.9,0.7
2019-02-15,1650,-1,26,5,,7.7,1.9
2019-02-16,760,-1,25,3,,6.9,0.9
2019-02-17,664,-1,22,1.2,,4,-0.9
2019-02-18,1484,-1,22,0.7,,2.5,-2.7
2019-02-19,1327,3.7,19,2.1,,2.2,1.6
2019-02-20,1352,0.1,17,-0.6,,2.8,-3.8
2019-02-21,1364,-1,16,-6.4,,-3.8,-8.3
2019-02-22,1222,1.6,16,-6.2,,-2.2,-10.8
2019-02-23,705,-1,16,1.8,,5.2,-4.5
2019-02-24,688,-1,16,2.7,,4.5,0.9
2019-02-25,2217,0.9,14,5.2,,7.8,4.2
2019-02-26,2419,-1,13,2.1,,4.8,1.1
2019-02-27,2388,-1,12,3.5,,5.7,-0.5
2019-02-28,2173,0.5,11,2,,5.1,-1.2
2019-03-01,1770,-1,10,-4.9,,-1.1,-7.6
2019-03-02,883,-1,10,0.5,,3.1,-5.2
2019-03-03,779,-1,10,-4.9,,1.5,-7.9
2019-03-04,2224,3.8,9,-2.7,,-1.3,-4.9
2019-03-05,1635,-1,14,-4.6,,-1.3,-7.4
2019-03-06,1711,0.2,13,-6.9,,-2.7,-14.3
2019-03-07,1616,8.7,12,0.2,,0.7,-2.8
2019-03-08,1555,5.1,13,3,,4.7,0.6
2019-03-09,711,3.7,9,0.4,,3.3,-1.9
2019-03-10,625,-1,10,-0.8,,2.1,-2.2
2019-03-11,1938,0.1,10,-4.9,,-2.2,-6.7
2019-03-12,1884,-1,10,-4.8,,-1.3,-8.6
2019-03-13,1869,4.2,10,-3.3,,-0.1,-9.1
2019-03-14,1633,0.4,14,1.4,,2.6,-1.1
2019-03-15,1632,3.7,10,2.1,,2.5,1.5
2019-03-16,717,1.7,8,1.8,,3.1,1.1
2019-03-17,741,8.1,7,1.7,,2.5,0.6
2019-03-18,2202,1,5,3.3,,4.1,1.7
2019-03-19,2304,0.2,2,2.6,,4.9,2
2019-03-20,2315,0.7,-1,1.3,,3.3,-0.4
2019-03-21,2646,0.1,-1,2.9,,5.3,0.9
2019-03-22,2497,-1,-1,3.9,,7.4,1.2
2019-03-23,942,0.5,-1,2.3,,3.6,1.2
2019-03-24,1736,-1,-1,4,,6.8,1.5
2019-03-25,3147,0.2,-1,1.5,,5.3,-0.7
2019-03-26,3295,-1,-1,0.3,,3.5,-2.9
2019-03-27,3378,-1,-1,0.2,,3.1,-4.1
2019-03-28,3601,-1,-1,3.6,,7.4,-0.9
2019-03-29,3909,-1,-1,6.1,,11.5,2.6
2019-03-30,2453,1.2,-1,5.3,,10,2.8
2019-03-31,1511,1,-1,3.3,,5.6,2.3
2019-04-01,4878,-1,-1,3.5,,7.8,-0.1
2019-04-02,5307,-1,-1,3.4,,6,1
2019-04-03,5932,-1,-1,6,,10.8,2.1
2019-04-04,6209,-1,-1,6.6,,12.5,3.5
2019-04-05,6016,-1,-1,5.8,,11.6,-0.1
2019-04-06,4681,-1,-1,6.6,,10.9,2.1
2019-04-07,4013,-1,-1,6.4,,10.3,1
2019-04-08,4257,3.4,-1,2.3,,9.5,1.3
2019-04-09,3897,2.1,-1,2.2,,5.1,0.9
2019-04-10,4358,-1,-1,-0.4,,2.5,-1.2
2019-04-11,5056,-1,-1,-0.3,,4.3,-3.1
2019-04-12,5269,-1,-1,1.5,,5,-3.6
2019-04-13,3366,-1,-1,4.5,,6.4,2
2019-04-14,2953,-1,-1,4.9,,8.9,3.2
2019-04-15,6966,-1,-1,4.7,-4.2,9.1,-0.7
2019-04-16,7785,-1,-1,7.1,-2.3,13.1,1.1
2019-04-17,7829,-1,-1,7,-2.7,11.1,1.1
2019-04-18,7109,-1,-1,9.2,-0.6,15.8,3.9
2019-04-19,4134,-1,-1,12,-0.3,17.1,4.3
2019-04-20,3658,-1,-1,9.4,1.7,13.8,5.4
2019-04-21,3503,-1,-1,6.4,0.9,9.2,3.8
2019-04-22,4098,-1,-1,9.8,1.2,14.9,4.5
2019-04-23,10669,-1,-1,12.3,2.1,18.6,6.1
2019-04-24,11357,-1,-1,11.9,-0.4,16.8,4.8
2019-04-25,10551,0.1,-1,13.7,3.8,17.5,8.4
2019-04-26,7797,0.6,-1,12.2,8.6,15.3,10.1
2019-04-27,7725,-1,-1,14.3,4.7,18.7,8.5
2019-04-28,4821,-1,-1,6.1,3.9,13.9,4.5
2019-04-29,9232,-1,-1,5.6,-3.1,9.3,1.3
2019-04-30,8475,-1,-1,6.7,-1,10.1,3.1
2019-05-01,5810,4.2,-1,8.3,-0.8,14.4,3.4
2019-05-02,4655,13.2,-1,4.4,4.8,7.9,2.7
2019-05-03,5454,-1,-1,2,0.1,5.2,0.3
2019-05-04,2821,6.1,-1,2.1,-1.6,5.8,-0.4
2019-05-05,4479,-1,-1,4.8,-1.3,8.5,-0.2
2019-05-06,9533,-1,-1,6.7,0.4,10,3.7
2019-05-07,9827,-1,-1,7,3.2,9.5,5.2
2019-05-08,9896,-1,-1,7.3,3,11.3,4.7
2019-05-09,10105,-1,-1,9.4,-0.2,13.2,3.8
2019-05-10,6043,3.6,-1,8.4,4.8,11.6,7.7
2019-05-11,2915,8.3,-1,9.5,6.6,12,7.4
2019-05-12,4531,-1,-1,8.8,6.9,12.6,5.7
2019-05-13,9562,-1,-1,8.6,1.4,12.3,4.9
2019-05-14,10724,-1,-1,9,5.8,14,6.6
2019-05-15,11400,-1,-1,10.1,1,13.6,5.1
2019-05-16,10785,-1,-1,11.8,0.8,16,4.9
2019-05-17,10706,-1,-1,13.8,2.4,18.2,6.7
2019-05-18,6843,-1,-1,15.6,4.2,20.2,8.9
2019-05-19,7244,-1,-1,17.1,6.5,21,12.2
2019-05-20,12093,0.8,-1,17.3,10.4,20.5,13.9
2019-05-21,13110,-1,-1,18.3,13,24.5,14.8
2019-05-22,12743,0.2,-1,17.8,11.1,21.6,15.5
2019-05-23,11100,0.5,-1,12.6,11.2,17.8,9.6
2019-05-24,5589,1.8,-1,9.3,8.1,10.5,8.2
2019-05-25,5428,0.9,-1,10.9,8.6,13.4,8.3
2019-05-26,2353,14.8,-1,9.5,7.4,11.8,8.1
2019-05-27,11970,0.4,-1,10.5,8.8,12.9,8.9
2019-05-28,10717,3.9,-1,11.7,8.3,15.2,9
2019-05-29,9348,-1,-1,12.4,10.6,16,10.8
2019-05-30,7725,3.2,-1,12.5,3.6,16.4,6.1
2019-05-31,7300,-1,-1,12.1,7.5,15.3,8.7
2019-06-01,5309,2.3,-1,12.3,6.1,16.5,8.4
2019-06-02,4897,-1,-1,13.4,9.8,17.8,10.1
2019-06-03,12856,5.6,-1,13,4.3,16.7,7.1
2019-06-04,10550,-1,-1,17.2,11.2,23.6,12.7
2019-06-05,14875,-1,-1,18.7,10,23.1,12.7
2019-06-06,14840,-1,-1,21.6,11.8,26.9,14.9
2019-06-07,12710,-1,-1,21.9,14.8,26.8,18.2
2019-06-08,9194,2.5,-1,22.1,14.9,26.5,17.3
2019-06-09,7668,-1,-1,18.3,16.1,22.2,16.2
2019-06-10,13267,-1,-1,16.4,12.2,19.5,13.7
2019-06-11,14700,-1,-1,17,9,21.7,12.2
2019-06-12,14566,-1,-1,15,12.1,18.7,12.6
2019-06-13,9438,1.1,-1,14,11.4,16,12.2
2019-06-14,9012,-1,-1,14.4,12.5,16.5,12.6
2019-06-15,7597,-1,-1,16.9,12.2,21.6,13.5
2019-06-16,8425,-1,-1,18.4,9.7,23.3,12.5
2019-06-17,13859,-1,-1,18.5,10.6,22.4,13.6
2019-06-18,14737,-1,-1,18.2,10.9,22.8,15
2019-06-19,13962,-1,-1,18.8,11.4,22.6,14.1
2019-06-20,10907,-1,-1,20,11.6,24.6,15
2019-06-21,4840,-1,-1,20,14.9,24.5,17.2
2019-06-22,3850,0.7,-1,17.3,13.4,20,14.2
2019-06-23,4776,-1,-1,17.3,11.1,20.2,13.6
2019-06-24,11926,-1,-1,19.5,12,23.8,13.9
2019-06-25,12911,0.7,-1,17,9.4,20.8,11.6
2019-06-26,9839,2,-1,15.1,12.4,19.5,13.5
2019-06-27,7953,0.7,-1,15.8,13.3,20.1,13.6
2019-06-28,11808,-1,-1,16.9,10.4,21.5,11.5
2019-06-29,7104,-1,-1,15.7,10,21.3,10.9
2019-06-30,6905,-1,-1,17.6,11.7,23.2,14.4
2019-07-01,11578,0.1,-1,17.9,14.9,23.7,15.9
2019-07-02,7168,22.5,-1,15.5,12.3,19.5,13.6
2019-07-03,8266,-1,-1,15.2,11,20.6,11.9
2019-07-04,9378,13.7,-1,13.9,9.4,17.7,10.2
2019-07-05,5695,11.7,-1,12.9,10.8,16.5,11
2019-07-06,3839,7.4,-1,13.3,10.2,19.1,10.2
2019-07-07,4426,2.1,-1,14.6,8.3,18.4,10.2
2019-07-08,7455,10.3,-1,15.2,12.6,19.9,13
2019-07-09,7796,-1,-1,13,11.4,15.2,11.4
2019-07-10,10146,-1,-1,16.8,11.6,21.4,12.2
2019-07-11,7146,0.2,-1,13,12.5,19.5,11.6
2019-07-12,7846,-1,-1,14.4,6.5,20,8.4
2019-07-13,6738,-1,-1,16.5,11.5,21.6,13.2
2019-07-14,6037,-1,-1,15.4,10.2,18.1,11.4
2019-07-15,8314,0.5,-1,16.5,10.8,19.2,12.8
2019-07-16,5234,3.5,-1,15.9,14.1,20,13.9
2019-07-17,9186,-1,-1,17.8,11.4,22.9,13
2019-07-18,9414,-1,-1,19.7,10.8,24.7,12.7
2019-07-19,8689,-1,-1,19.8,12.7,25,14.7
2019-07-20,7394,-1,-1,19.7,11,25.1,13.1
2019-07-21,7239,-1,-1,20.5,11.7,25.1,14.2
2019-07-22,8568,0.2,-1,20,15.4,22.5,17.9
2019-07-23,10183,-1,-1,21.8,14,25.7,16.3
2019-07-24,10803,-1,-1,23.3,14.3,28.7,16.4
2019-07-25,10255,-1,-1,20.9,16.4,25.4,18.5
2019-07-26,9424,-1,-1,22.2,15.2,25.6,17.4
2019-07-27,7833,-1,-1,24.9,17,29.1,19.3
2019-07-28,6859,-1,-1,25.3,17.7,33.2,20.2
2019-07-29,10170,-1,-1,17.6,15.7,21.6,16.6
2019-07-30,9595,-1,-1,14.5,11.6,18.5,11.5
2019-07-31,11187,-1,-1,16,11.4,21.2,11.4
2019-08-01,11260,-1,-1,15.1,11.6,19,11.7
2019-08-02,10009,-1,-1,16.1,9.1,21.6,11.1
2019-08-03,5888,-1,-1,13.8,8.7,18.3,9.8
2019-08-04,6065,-1,-1,13.4,7.3,18.3,8.8
2019-08-05,12896,-1,-1,16.6,8.1,23,9.4
2019-08-06,12474,0.9,-1,16.9,10,20.3,12.6
2019-08-07,11192,3,-1,17.1,12.8,19.9,15.1
2019-08-08,12920,-1,-1,17.4,11.8,20.7,14.2
2019-08-09,10837,-1,-1,17.4,13,21.8,14.3
2019-08-10,7948,-1,-1,18.2,10.4,21.9,12.4
2019-08-11,3787,4.7,-1,18,15.9,19.7,16.3
2019-08-12,12432,0.1,-1,18.5,17,21.1,17.3
2019-08-13,13691,0.5,-1,18,15.3,20.3,16.4
2019-08-14,11040,0.1,-1,17.4,14.8,19.8,16.1
2019-08-15,14810,1.2,-1,17.3,13.3,20.6,14.5
2019-08-16,11567,-1,-1,16.8,10.4,20.2,12.7
2019-08-17,7757,-1,-1,18.6,15.3,22.2,16.8
2019-08-18,6903,3.7,-1,18.8,15,21.4,16.7
2019-08-19,8374,2,-1,17.7,15.4,19.7,15.9
2019-08-20,13465,-1,-1,17.8,13.1,20.5,15.1
2019-08-21,13178,-1,-1,17.3,15.3,19.4,16.3
2019-08-22,13323,50.2,-1,17.2,10.8,21.1,12.9
2019-08-23,4864,12.3,-1,16.1,12.8,19.4,13
2019-08-24,7601,-1,-1,17.3,13.3,21.4,14.4
2019-08-25,7187,-1,-1,16.5,8.7,20.2,10.3
2019-08-26,13607,-1,-1,19,13.6,22.6,15.3
2019-08-27,14482,-1,-1,17.9,12.3,21.2,14.1
2019-08-28,13874,-1,-1,18.8,11.7,23.1,14
2019-08-29,13322,3.5,-1,19.8,14.8,22.2,16.8
2019-08-30,9085,-1,-1,18.8,17.2,21.1,17.7
2019-08-31,7419,-1,-1,17.8,12.5,20.5,14.1
2019-09-01,7185,-1,-1,18.3,13.1,21.6,15.3
2019-09-02,11448,8.2,-1,17.9,14.7,22.5,14.3
2019-09-03,12563,-1,-1,15.4,11.1,18.8,12.9
2019-09-04,11672,-1,-1,16.4,9.3,20.2,11.3
2019-09-05,9733,4.9,-1,16.5,10.7,19.7,12.7
2019-09-06,7901,0.9,-1,15.1,13.5,17.2,13.5
2019-09-07,4958,3.6,-1,14.1,7.9,18.3,9.8
2019-09-08,4056,0.9,-1,15.7,10.5,17,12.5
2019-09-09,9358,3.5,-1,16.8,13.7,18.7,14.8
2019-09-10,12946,-1,-1,18.9,14.4,21.1,15.7
2019-09-11,9065,4.3,-1,16.6,14.7,20.4,15
2019-09-12,7270,0.4,-1,15.8,14.1,17.2,14.9
2019-09-13,6770,8.5,-1,13.1,14,16.5,11.1
2019-09-14,4613,8.9,-1,11,8.2,14.6,9
2019-09-15,2220,13.3,-1,11,4.9,13.5,6.6
2019-09-16,8862,1.6,-1,10.6,7.3,14.1,9
2019-09-17,9351,0.1,-1,8.9,5.1,11.9,5.8
2019-09-18,9282,0.1,-1,8.7,6.4,13.5,6.9
2019-09-19,8973,-1,-1,6.6,0.5,11.9,2
2019-09-20,7541,1.9,-1,7.1,-0.2,11.5,1.6
2019-09-21,3290,0.7,-1,8.9,4.4,10.9,6.1
2019-09-22,3875,-1,-1,6.7,2.9,10.6,3.8
2019-09-23,8277,-1,-1,5.7,-0.3,10.6,1.4
2019-09-24,7514,3.3,-1,7.2,1.5,10,3.6
2019-09-25,6997,0.8,-1,7.4,6.7,8.6,7.1
2019-09-26,8824,-1,-1,8.4,2.1,13.1,3.7
2019-09-27,7804,-1,-1,9,2.2,13.7,4.2
2019-09-28,4873,1.7,-1,11.8,8.6,14.2,9.6
2019-09-29,3419,0.9,-1,12.5,9.8,14.4,10.9
2019-09-30,7563,8,-1,12.7,10.2,14.5,11.7
2019-10-01,6614,2.1,-1,8.2,6.8,12.9,5.2
2019-10-02,7335,0.5,-1,6.9,2.6,9.9,4.1
2019-10-03,5452,2.5,-1,4.5,2.9,6.6,3.4
2019-10-04,5157,0.9,-1,2.4,1.6,5.3,1.5
2019-10-05,3001,-1,-1,2.5,-1.5,5.8,-0.2
2019-10-06,2799,-1,-1,4,-0.9,6.9,0.3
2019-10-07,6647,0.1,-1,4.5,1.2,7.9,2.7
2019-10-08,7141,-1,-1,5,0.9,7.2,2.4
2019-10-09,6757,1.1,-1,4.8,-0.2,7.6,1.9
2019-10-10,6837,2.4,-1,7.1,3.5,10.2,4.8
2019-10-11,4611,33.8,-1,10.4,3.8,12.3,5.7
2019-10-12,2613,0.1,-1,9.8,7.4,11.5,8.2
2019-10-13,2889,1.4,-1,8.9,6.3,12.2,6.4
2019-10-14,3799,9.3,-1,5,0.3,8.5,2.4
2019-10-15,5963,0.1,-1,4.4,-2.7,7.8,-1.1
2019-10-16,5225,-1,-1,6.8,6.2,8.3,5
2019-10-17,3912,3.6,-1,5.1,4.5,5.6,4.6
2019-10-18,4345,3,-1,8,4.7,10.3,4.8
2019-10-19,2309,2.9,-1,11.5,10,12.4,10.3
2019-10-20,2187,13.3,-1,9.9,5.1,11.3,7.6
2019-10-21,6107,0.2,-1,6.7,4.9,10.7,4.4
2019-10-22,5875,0.1,-1,9.6,2.2,11.4,2.8
2019-10-23,6910,-1,-1,10.1,6.9,11.9,8.1
2019-10-24,6516,-1,-1,11.1,9.6,12.1,10.5
2019-10-25,4727,0.6,-1,10.7,7.8,12.1,9.7
2019-10-26,1565,13.2,-1,7.5,7.4,11.6,5.8
2019-10-27,1181,9.7,-1,3.2,3.6,5.7,1.1
2019-10-28,4610,0.8,-1,0.9,-0.4,2.8,0.1
2019-10-29,4686,-1,-1,-1,-4.7,1.4,-3
2019-10-30,4520,0.1,-1,-0.4,-5.5,1.6,-3.4
2019-10-31,4796,-1,-1,4.7,-0.9,5.9,1.4
2019-11-01,3934,0.1,-1,1.4,-1.6,4.8,-0.4
2019-11-02,1410,4.2,-1,5,-3.6,6.5,-1.1
2019-11-03,1633,-1,-1,3.3,0.7,5.3,1.1
2019-11-04,4225,-1,-1,-0.5,-1.2,2.6,-1.4
2019-11-05,3902,-1,-1,-1.2,-3.5,0.6,-2.4
2019-11-06,3911,0.4,-1,-2.5,-5.7,-0.6,-3.7
